time;pertugt;impgt;mgt;rkip
2014.04.13;11;14;2;398
2014.04.20;10;14;2;287
2014.04.27;9;12;2;187
2014.05.04;10;15;2;238
2014.05.11;9;15;2;294
2014.05.18;9;16;3;360
2014.05.25;8;14;3;318
2014.06.01;9;16;2;245
2014.06.08;7;14;3;269
2014.06.15;10;15;2;237
2014.06.22;10;16;2;245
2014.06.29;9;15;2;288
2014.07.06;10;16;2;318
2014.07.13;7;15;2;322
2014.07.20;7;15;2;305
2014.07.27;8;16;2;284
2014.08.03;8;15;2;276
2014.08.10;7;15;1;259
2014.08.17;8;15;2;264
2014.08.24;6;14;2;282
2014.08.31;8;14;2;280
2014.09.07;8;14;2;279
2014.09.14;8;14;2;316
2014.09.21;11;15;2;293
2014.09.28;9;14;2;329
2014.10.05;11;15;2;276
2014.10.12;13;15;2;331
2014.10.19;12;15;2;383
2014.10.26;11;14;2;338
2014.11.02;13;16;5;292
2014.11.09;14;16;3;325
2014.11.16;12;13;2;353
2014.11.23;13;13;2;383
2014.11.30;13;12;2;363
2014.12.07;17;13;2;388
2014.12.14;16;12;2;370
2014.12.21;13;7;2;358
2014.12.28;12;7;1;148
2015.01.04;14;14;2;109
2015.01.11;13;15;2;275
2015.01.18;14;14;3;424
2015.01.25;14;14;3;371
2015.02.01;15;13;11;384
2015.02.08;14;16;10;344
2015.02.15;15;16;9;342
2015.02.22;16;42;100;274
2015.03.01;15;26;34;339
2015.03.08;12;18;16;287
2015.03.15;12;17;12;267
2015.03.22;10;15;11;238
2015.03.29;7;12;8;266
2015.04.05;8;13;6;186
2015.04.12;9;17;7;154
2015.04.19;10;17;6;256
2015.04.26;7;16;6;284
2015.05.03;7;15;4;218
2015.05.10;7;13;4;251
2015.05.17;7;16;5;182
2015.05.24;6;14;3;208
2015.05.31;7;15;4;160
2015.06.07;8;17;4;173
2015.06.14;8;18;3;201
2015.06.21;9;17;3;250
2015.06.28;8;16;3;245
2015.07.05;8;17;3;219
2015.07.12;8;17;2;234
2015.07.19;8;16;3;290
2015.07.26;7;15;2;241
2015.08.02;7;17;2;234
2015.08.09;5;15;2;186
2015.08.16;7;15;2;194
2015.08.23;6;15;2;201
2015.08.30;7;15;2;192
2015.09.06;8;16;2;246
2015.09.13;8;15;3;242
2015.09.20;9;16;2;264
2015.09.27;10;14;2;267
2015.10.04;10;17;2;290
2015.10.11;11;14;2;296
2015.10.18;10;15;2;269
2015.10.25;18;16;2;313
2015.11.01;11;16;2;318
2015.11.08;15;15;2;339
2015.11.15;13;14;2;331
2015.11.22;11;13;2;348
2015.11.29;10;14;2;349
2015.12.06;14;13;2;335
2015.12.13;12;13;2;373
2015.12.20;12;10;2;391
2015.12.27;8;8;2;211
2016.01.03;10;13;2;115
2016.01.10;13;17;2;282
2016.01.17;14;16;2;425
2016.01.24;13;17;2;416
2016.01.31;15;16;2;461
2016.02.07;11;14;2;381
2016.02.14;13;17;2;378
2016.02.21;13;17;2;402
2016.02.28;13;15;2;404
2016.03.06;12;14;2;427
2016.03.13;12;16;2;431
2016.03.20;10;13;2;417
2016.03.27;7;12;2;310
2016.04.03;13;16;2;246
2016.04.10;10;15;3;356
2016.04.17;9;16;2;380
2016.04.24;9;15;2;388
2016.05.01;10;13;2;349
2016.05.08;9;17;2;272
2016.05.15;8;14;2;307
2016.05.22;7;16;2;255
2016.05.29;8;16;3;283
2016.06.05;10;18;3;328
2016.06.12;9;17;2;398
2016.06.19;9;17;2;410
2016.06.26;8;16;2;380
2016.07.03;8;17;2;405
2016.07.10;9;15;2;474
2016.07.17;8;16;2;453
2016.07.24;8;16;2;421
2016.07.31;10;16;2;397
2016.08.07;12;16;2;409
2016.08.14;9;15;2;411
2016.08.21;9;16;2;430
2016.08.28;9;16;2;434
2016.09.04;8;16;2;458
2016.09.11;12;15;2;507
2016.09.18;11;16;2;571
2016.09.25;11;17;2;602
